Query,Key
"Do large pretrained language models already ""know"" about NLP tasks?","Large pretrained language models are empirically useful. They are empirically useful at prediction for established NLP benchmarks and novel tasks. Since this class of models is the best currently available at prediction across this spectrum, there is no need for ""prefiltering steps"" and does not matter if the models have memorized previously seen answers."
Eigenvectors and eigenvalues for natural language processing,"Latent Semantic Analysis (LSA) relies on linear-algebraic decompositions (e.g. SVD), which in turn involve eigenvectors/values (see here).

Not sure if this is quite what your question is driving at, but in general, eigenvectors are useful in data analysis because they define some ""natural"" direction in the data. For example, the eigenvectors of the covariance matrix of some data are all perpendicular to one another, and the i'th one points in the direction of i'th greatest variance in the data. In other words, the first eigenvector points in the direction where the data's variance is greatest, the second one in (perpendicular) direction of second-greatest variance, and so on. This is why eigenvector-based decompositions can be so useful in feature selection and dimensionality reduction. In informal terms, they transform the data into perpendicular features that are aligned with some ""natural"" axes in the data."
Calculating optimal number of topics for topic modeling (LDA),"LDA being a probabilistic model, the results depend on the type of data and problem statement. There is nothing like a valid range for coherence score but having more than 0.4 makes sense. By fixing the number of topics, you can experiment by tuning hyper parameters like alpha and beta which will give you better distribution of topics.

The alpha controls the mixture of topics for any given document. Turn it down and the documents will likely have less of a mixture of topics. Turn it up and the documents will likely have more of a mixture of topics.

The beta controls the distribution of words per topic. Turn it down and the topics will likely have less words. Turn it up and the topics will likely have more words.

The main purpose of lda is to find hidden meaning of corpus and find words which best describe that corpus.

To know more about coherence score you can refer this"
Attributes extraction from unstructured product descriptions,"Left you a quick response on SO. The gist is that you can collect a lot of information from electronics shops and manufacturers' web sites, and lots you can annotate manually. If your goal is to only get training data, that's all you need:

My answer form the cross-post: ""Having developed a commercial analyzer of this kind, I can tell you that there is no easy solution for this problem. But there are multiple shortcuts, especially if your domain is limited to cameras/electronics.

Firstly, you should look at more sites. Many have product brand annotated in the page (proper html annotations, bold font, all caps in the beginning of the name). Some sites have entire pages with brand selectors for search purposes. This way you can create a pretty good starter dictionary of brand names. Same with product line names and even with models. Alphanumeric models can be extracted in bulk by regular expressions and filtered pretty quickly.

There are plenty of other tricks, but I'll try to be brief. Just a piece of advice here: there is always a trade-off between manual work and algorithms. Always keep in mind that both approaches can be mixed and both have return-on-invested-time curves, which people tend to forget. If your goal is not to create an automatic algorithm to extract product brands and models, this problem should have limited time budget in your plan. You can realistically create a dictionary of 1000 brands in a day, and for decent performance on known data source of electronic goods (we are not talking Amazon here or are we?) a dictionary of 4000 brands may be all you need for your work. So do the math before you invest weeks into the latest neural network named entity recognizer."""
Why use cosine similarity instead of scaling the vectors when calculating the similarity of vectors?,"Let 
u,v
𝑢
,
𝑣
 be vectors. The ""cosine distance"" between them is given by

d
cos
(u,v)=1−
u
∥u∥
⋅
v
∥v∥
=1−cos
θ
u,v
,
𝑑
cos
(
𝑢
,
𝑣
)
=
1
−
𝑢
‖
𝑢
‖
⋅
𝑣
‖
𝑣
‖
=
1
−
cos
⁡
𝜃
𝑢
,
𝑣
,

and the proposed ""normalized Euclidean distance"" is given by

d
NE
(u,v)=
∥
∥
∥
u
∥u∥
−
v
∥v∥
∥
∥
∥
=
d
E
(
u
∥u∥
,
v
∥v∥
).
𝑑
𝑁
𝐸
(
𝑢
,
𝑣
)
=
‖
𝑢
‖
𝑢
‖
−
𝑣
‖
𝑣
‖
‖
=
𝑑
𝐸
(
𝑢
‖
𝑢
‖
,
𝑣
‖
𝑣
‖
)
.

By various symmetries, both distance measures may be written as a univariate function of the angle 
θ
u,v
𝜃
𝑢
,
𝑣
 between 
u
𝑢
 and 
v
𝑣
. [1] Let's then compare the distances as a function of radian angle deviation 
θ
u,v
𝜃
𝑢
,
𝑣
.

Evidently, they both have the same fundamental properties that we desire -- strictly increasing monotonicity for 
θ
u,v
∈[0,π]
𝜃
𝑢
,
𝑣
∈
[
0
,
𝜋
]
 and appropriate symmetry and periodicity across 
θ
u,v
𝜃
𝑢
,
𝑣
.

Their shapes are different, however. Euclidean distance disproportionately punishes small deviations in the angles larger than is arguably necessary. Why is this important? Consider that the training algorithm is attempting to reduce the total error across the dataset. With Euclidean distance, law-abiding vectors are unfairly punished (
1
2
d
NE
(
θ
u,v
=π/12)=0.125
1
2
𝑑
𝑁
𝐸
(
𝜃
𝑢
,
𝑣
=
𝜋
/
12
)
=
0.125
), making it easier for the training algorithm to get away with much more serious crimes (
1
2
d
NE
(
θ
u,v
=π)=1.000
1
2
𝑑
𝑁
𝐸
(
𝜃
𝑢
,
𝑣
=
𝜋
)
=
1.000
). That is, under Euclidean distance, 8 law-abiding vectors are just as bad as maximally opposite-facing vectors.

Under cosine distance, justice is meted out with more proportionate fairness so that society (the sum of error across the dataset) as a whole can get better.

[1] In fact, 
d
cos
(u,v)=
1
2
(
d
NE
(u,v)
)
2
𝑑
cos
(
𝑢
,
𝑣
)
=
1
2
(
𝑑
𝑁
𝐸
(
𝑢
,
𝑣
)
)
2
."
Maximum Entropy modelling - likelihood equation,"Let 
X
1
,...,
X
n
𝑋
1
,
.
.
.
,
𝑋
𝑛
 have a discrete join probability distribution 
P(x∣θ)
𝑃
(
𝑥
∣
𝜃
)
 where 
x
⃗ 
=(
x
1
,...,
x
n
)
𝑥
→
=
(
𝑥
1
,
.
.
.
,
𝑥
𝑛
)
 is a vector in the sample and 
θ
𝜃
 is a parameter from parameter space. We will call 
P(x∣θ)
𝑃
(
𝑥
∣
𝜃
)
 the likelihood function when it is a function of 
θ
𝜃
. By the ML principle we must maximize the likelihood function over some training set. Assuming that the samples are i.i.d then ML is maximize by:

thet
a
∗
=argmax
∑
m
i=1
log(P(
x
i
∣θ))
𝑡
ℎ
𝑒
𝑡
𝑎
∗
=
𝑎
𝑟
𝑔
𝑚
𝑎
𝑥
∑
𝑖
=
1
𝑚
𝑙
𝑜
𝑔
(
𝑃
(
𝑥
𝑖
∣
𝜃
)
)

The above part should be review.

Let 
χ
𝜒
 be the set 
{
a
1
,...,
a
n
}
{
𝑎
1
,
.
.
.
,
𝑎
𝑛
}
 and let 
P(a∣ϕ)
𝑃
(
𝑎
∣
𝜙
)
 be the probability of drawing 
a
i
𝑎
𝑖
. Finally let 
x
1
,...,
x
n
𝑥
1
,
.
.
.
,
𝑥
𝑛
 be the sequence of the drawn and be i.i.d based on probability P. 
f(a)
𝑓
(
𝑎
)
 is the measurement of the draws i.e. 
f(a)=|{i:
x
i
=a}|
𝑓
(
𝑎
)
=
|
{
𝑖
:
𝑥
𝑖
=
𝑎
}
|
.

The empirical distribution is defined by 
P
^
(a)=
f(a)
∑
a∈χ
f(α)
=
f(a)
m
𝑃
^
(
𝑎
)
=
𝑓
(
𝑎
)
∑
𝑎
∈
𝜒
𝑓
(
𝛼
)
=
𝑓
(
𝑎
)
𝑚
.

The joint probability 
P(
x
1
,..
x
m
|θ)=
∏
m
i=1
p(
x
i
|ϕ
)
f(a)
𝑃
(
𝑥
1
,
.
.
𝑥
𝑚
|
𝜃
)
=
∏
𝑖
=
1
𝑚
𝑝
(
𝑥
𝑖
|
𝜙
)
𝑓
(
𝑎
)

As you can see here Training data, your tutorial and I have defined our emperical distribution similiary and obtained the same result.

TLDR, it's just a matter of notation."
How to preprocess with NLP a big dataset for text classification,"Let me first clarify the general principle of classification with text data. Note that I'm assuming that you're using a ""traditional"" method (like decision trees), as opposed to Deep Learning (DL) method.

As you correctly understand, each individual text document (instance) has to be represented as a vector of features, each feature representing a word. But there is a crucial constraint: every feature/word must be at the same position in the vector for all the documents. This is because that's how the learning algorithm can find patterns across instances. For example the decision tree algorithm might create a condition corresponding to ""does the document contains the word 'cat'?"", and the only way for the model to correctly detect if this condition is satisfied is if the word 'cat' is consistently represented at index 
i
𝑖
 in the vector for every instance.

For the record this is very similar to one-hot-encoding: the variable ""word"" has many possible values, each of them must be represented as a different feature.

This means that you cannot use a different index representation for every instance, as you currently do.

Vectors generated from those texts needs to have the same dimension Does padding them with zeroes make any sense?

As you probably understood now, no it doesn't.

Vectors for prediction needs also to have the same dimension as those from the training

Yes, they must not only have the same dimension but also have the same exact features/words in the same order.

At prediction phase, those words that hasn't been added to the corpus are ignored

Absolutely, any out of vocabulary word (word which doesn't appear in the training data) has to be ignored. It would be unusable anyway since the model has no idea which class it is related to.

Also, the vectorization doesn't make much sense since they are like [0, 1, 2, 3, 4, 1, 2, 3, 5, 1, 2, 3] and this is different to [1, 0, 2, 3, 4, 1, 2, 3, 5, 1, 2, 3] even though they both contain the same information

Indeed, you had the right intuition that there was a problem there, it's the same issue as above.

Now of course you go back to solving the problem of fitting these very long vectors in memory. So in theory the vector length is the full vocabulary size, but in practice there are several good reasons not to keep all the words, more precisely to remove the least frequent words:

The least frequent words are difficult to use by the model. A word which appears only once (btw it's called a hapax legomenon, in case you want to impress people with fancy terms ;) ) doesn't help at all, because it might appear by chance with a particular class. Worse, it can cause overfitting: if the model creates a rule that classifies any document containing this word as class C (because in the training 100% of the documents with this word are class C, even though there's only one) and it turns out that the word has nothing specific to class C, the model will make errors. Statistically it's very risky to draw conclusions from a small sample, so the least frequent words are often ""bad features"".
You're going to like this one: texts in natural language follow a Zipf distribution. This means that in any text there's a small number of distinct words which appear frequently and a high number of distinct words which appear rarely. As a result removing the least frequent words reduces the size of the vocabulary very quickly (because there are many rare words) but it doesn't remove a large proportion of the text (because the most frequent occurrences are frequent words). For example removing the words which appear only once might reduce the vocabulary size by half, while reducing the text size by only 3%.

So practically what you need to do is this:

Calculate the word frequency for every distinct word across all the documents in the training data (only in the training data). Note that you need to store only one dict in memory so it's doable. Sort it by frequency and store it somewhere in a file.
Decide a minimum frequency 
N
𝑁
 in order to obtain your reduced vocabulary by removing all the words which have frequency lower than 
N
𝑁
.
Represent every document as a vector using only this predefined vocabulary (and fixed indexes, of course). Now you can train a model and evaluate it on a test set.

Note that you could try different values of 
N
𝑁
 (2,3,4,...) and observe which one gives the best performance (it's not necessarily the lowest one, for the reasons mentioned above). If you do that you should normally use a validation set distinct from the final test set, because evaluating several times on the test set is like ""cheating"" (this is called data leakage)."
NLP varying amount of features and BoW as feature concatenating to feedforward NN,"Let me take a crack at your questions:

The article specifies the features are concatenated. How does a concatenation layer work internally? Does it concatenate all the values in a single variable, in a very literal sense? how does that work computationally?


The concantenation of information in this context is, concatenation of vector represententations of the text. You could concatenate using a concatenation layer as described here. This is a very common approach followed where you want to feed your network information by taking various contexts depending on the problem you need to solve.

How can a Bag of Words be a feature, when its a key-value pair? Or is it also just all concatenated into one variable. Which again, how can that work computationally?


Bag of words, is typically a vector representation of the context. The above answer should help you. You could take a look at how to combine embeddings here as well

The text specifies multiple words are used as a single feature; e.g. Left context: five words before the entity. Is this again concatenating the embedding / vectors?


Yes, you are spot on. You combine the embedding vectors that you generate using skipgram or cbow, or you could even use one-hot encoded vectors.

Entity end: last three words of the entity (they can be duplicated with the previous feature if they overlap, or padded if there are not that many) does this mean a variable amount of features as input to the NN (or concatenation layer) or is this more intended as a configuration? Less context available so fewer amount of 'hard' coded input features?


Its always good to pad and use well defined dimensional vectors. Helps you structure your architecture better. You could use masking layer to ensure that the network ignores the paddings.

I hope this helps."
What is generative and discriminative model? How are they used in Natural Language Processing?,"Let's say you are predicting the topic of a document given its words.

A generative model describes how likely each topic is, and how likely words are given the topic. This is how it says documents are actually ""generated"" by the world -- a topic arises according to some distribution, words arise because of the topic, you have a document. Classifying documents of words W into topic T is a matter of maximizing the joint likelihood: P(T,W) = P(W|T)P(T)

A discriminative model operates by only describing how likely a topic is given the words. It says nothing about how likely the words or topic are by themselves. The task is to model P(T|W) directly and find the T that maximizes this. These approaches do not care about P(T) or P(W) directly."
What is the feedforward network in a transformer trained on?,"Let's take the common translation task which transformers can be used for as an example: If you would like to translate English to German one example of your training data could be

(""the cat is black"", ""die Katze ist schwarz"").

In this case your target is simply the German sentence ""die Katze ist schwarz"" (which is of course not processed as a string but using embeddings incl. positional information). This is what you calculate your loss on, run backprop on, and derive the gradients as well as weight updates from.

Accordingly, you can think of the light blue feed forward layers of a transformer

as a hidden layer in regular feed forward network. Just as for a regular hidden layer its parameters are updated by running backprop based on transformer 
loss(output,target)
𝑙
𝑜
𝑠
𝑠
(
𝑜
𝑢
𝑡
𝑝
𝑢
𝑡
,
𝑡
𝑎
𝑟
𝑔
𝑒
𝑡
)
 with target being the translated sentence."
How to generate a sentence with exactly N words?,"Limit outputs od decoder to N. Not sure how easy it would be, probably a bit digging into official implementation but after that the main ""skeleton"" of the GPT2 is usable, meaning that all of the pre-training can be reused to produce meaningful sentences."
List of NLP challenges,"List of NLP competitions on Kaggle by popularity [number of teams]:

Two Sigma Connect: Rental Listing Inquiries [2709 teams] https://www.kaggle.com/c/two-sigma-connect-rental-listing-inquiries
Home Depot Product Search Relevance [2125 teams] https://www.kaggle.com/c/home-depot-product-search-relevance
Quora Question Pairs [2123 teams] https://www.kaggle.com/c/quora-question-pairs
What's Cooking? [1388 teams] https://www.kaggle.com/c/whats-cooking
Crowdflower Search Results Relevance [1326 teams] https://www.kaggle.com/c/crowdflower-search-relevance
Bag of Words Meets Bags of Popcorn [578 teams] https://www.kaggle.com/c/word2vec-nlp-tutorial
Transfer Learning on Stack Exchange Tags [380 teams] https://www.kaggle.com/c/transfer-learning-on-stack-exchange-tags/data
Facebook Recruiting III - Keyword Extraction [367 teams] https://www.kaggle.com/c/facebook-recruiting-iii-keyword-extraction
New entrants are prohibited, you won't be able to download data for this competition
Dato: Truly Native? [274 teams] https://www.kaggle.com/c/dato-native
The Allen AI Science Challenge [170 teams] https://www.kaggle.com/c/the-allen-ai-science-challenge"
Document embedding vs locality sensitive hashing for document clustering,"Locality sensitive hashing (LSH) is a search technique. With it, similar documents get the same hash with higher probability than dissimilar documents do. LSH is designed to allow you to build lookup tables to efficiently search large data sets for items similar to a given item. It is also a probabilistic method in that it can generate false positives and false negatives. While there are ways to train LSH, most LSH is untrained. That's because LSH has been studied more in the search setting than the machine learning setting.

Embeddings are a machine learning technique to capture semantic information for use in some downstream task, such as clustering or classification. Typically semantically similar items get similar (but not the same) embeddings. Embeddings are trained from data. There are many unsupervised algorithms (word2vec, glove) and there are supervised methods too (auto-encoders, hidden layer output from deep models).

Embeddings can be used to map items into a space where near neighbor search would find semantically similar items. However, on large data sets you would still need to index the data to search efficiently, which raises the possibility of doing LSH on embeddings. That way you get the benefit of a trained model that learns the distribution of your data set and the benefit of a fast lookup table."
Using the whole GloVe pre-trained embedding matrix or minimize the matrix based on the number of words in vocabulary,"Long Short Term Memory (LSTM) can take a long time to train because of the complexity of the architecture.

If you think the size of the embedding space is also slowing down training, you can reduce the size of the vocabulary by only taking the most frequently occurring words. Since it appears you are using PyTorch, you can do this within the torchtext.vocab.GloVe class with the max_vectors argument which limits the size of the loaded set."
Tokenize sentence based on a dictionary,"Look at the NLTK library for Python, there are functions to facilitate tokenizing sentences."
Inferring Relational Hierarchies of Words,"Look up taxonomy/ontology construction/induction. Relevant papers:

Automatic Taxonomy Construction from Keywords via Scalable Bayesian Rose Trees
Topic Models for Taxonomies
OntoLearn Reloaded. A Graph-Based Algorithm for Taxonomy Induction
Ontology Population and Enrichment: State of the Art
Probabilistic Topic Models for Learning Terminological Ontologies"
Multi-label text classification with minimum confidence threshold,"Looks like the common approaches to multi-class classification actually solve this challenge.

Building individual Naive Bayes Classifiers with only the training data for a single label is insufficient - we must also the include data from other labels as ""everything else"".

See Text-Classification-Problem, what is the right approach?"
How prevalent is `C/C++` in machine learning development?,"Machine learning is inherently data intensive, and typical ML algorithms are massively data-parallel. Therefore, even when developing new algorithms, high-level mathy languages (like Python, R, Octave) can be reasonably fast if you are willing to describe your algorithm in terms of standard operations on matrices and vectors.

On the other hand, for deeper exploration of fundamental concepts it can be more interesting to treat individual components as objects for which you want to conceptualize and visualize their internal state and interactions. This is a case where C++ may shine. Using C++, of course, means that a compiler will attempt to optimize your execution speed. Additionally, it opens the door to straightforward multi-core execution with OpenMP (or other available threading approaches).

C++ is a high level language -- not inherently more verbose or tedious than Python for algorithm development. The biggest challenges for working with C++ are:

A more anarchic library ecosystem means a bigger effort for choosing and integrating existing components.
Less stable language rules (or the interpretation thereof) means that something you create today might not compile a few years down the road (due to compiler upgrades).

Consider, also, that TensorFlow documentation identifies some benefits of using C++ over Python for certain low-level cases. See TensorFlow: Create an op.

Low-level coding for GPU acceleration is an entirely different can of worms with very limited language options. This is not something to be concerned about until after you have a well-defined custom algorithm that you want to super-optimize. More likely, you would be better off using a framework (like TensorFlow) to handle GPU interactions for you.

For exploratory visualization purposes, don't discount the interactive power of JavaScript, which is also comparatively fast:

A Neural Network Playground
TensorFlow.js demos
ConvNetJS: Deep Learning in your browser"
Would Topic Modelling be classified as NLP or NLU?,"Maybe I'm having trouble formulating the inherent difference between NLP and NLU, when do we draw the line between the two?

There is a confusion here: NLP is the whole domain of AI which deals with natural language. It includes virtually any task related to processing language data (usually mostly written data, but that's not the point). Topic modeling is one of these tasks.

NLU is the problem of Natural Language Understanding, which is usually considered as one of the main goals of NLP. If anything, NLU is a problem that NLP tries to solve, i.e. a sub-topic in the large area of NLP.

Also notice that using words embeddings can improve things, but it doesn't solve all the difficulties related to semantics, far from it.

[edit] The scope of NLU is not strictly defined: in the broadest possible definition, it would include anything vaguely related to extracting meaning from text, and in this very generous sense topic modeling would have a connection to it with or without embeddings (and so would a lot of other NLP tasks). Wikipedia says:

The umbrella term ""natural-language understanding"" can be applied to a diverse set of computer applications, ranging from small, relatively simple tasks such as short commands issued to robots, to highly complex endeavors such as the full comprehension of newspaper articles or poetry passages. Many real world applications fall between the two extremes, for instance text classification for the automatic analysis of emails and their routing to a suitable department in a corporation does not require in depth understanding of the text.

But the most commonly accepted definition of NLU is stricter, it would only consider tasks which directly involve the interpretation of text in a quite complex setting. The typical example is the ""virtual assistant"" such as Amazon Alexa, OK Google, Apple's Siri. In this sense topic modeling is simply a completely different task, no matter the ""degree of understanding""."
Differentiate between positive and negative clusters,"Maybe you don't have a positive and a negative class. Your input are word vectors. Unless you trained your word vectors before with explicit positive and negative labels, it is very unlikely that your KMeans learned that difference.

If you used pre-trained word vectors, your KMeans could have learned an arbitrary difference between cluster 0 and cluster 1. Maybe it learned which reviews are from males and which from females, maybe which have the word ""parachute"" and which don't have the word ""parachute"", the options are endless.

What you can do, is access which labels your KMeans learned (model.labels_) and filter your input X per cluster. Then, count the occurence of each word in each cluster and order which words happen the most in each of them. This might help you understand the difference between cluster 0 and cluster 1.

Note: if the top words you get are words like: a, the, of, if, etc. Use a stop-word list, or filter those word with a max document frequency threshold."
Does it make sense to concatenate datasets to improve accuracy of model?,"More data is always better. It makes 100% sense to concatenate all datasets in to a larger one, assuming that they are in the same format. This will most likely improve the performance of your model."
How should labeled data from multiple annotators be prepared for ML text classification?,"Most machine learning algorithms are designed with complete trust in the labels. There is no standard way to model uncertainty in data labels. Thus, create a project-specific threshold for uncertainty to omit data or labelers. For example, a trusted classification data label would require n of m ensemble voting.

One major issue is re-labeling. Systems tend to evolve over time and the definition of labels is refined. Mature data labeling system have a notion of data lineage - ""Who labeled what data when with what criteria"".

The book ""Human-in-the-Loop Machine Learning"" by Robert Munro goes into greater detail."
What is word embedding and character embedding ? Why words are represented in vector with huge size?,"Most problems in NLP require the system to understand the semantic meaning of the text and not just the arrangement of specific words.

Semantic understanding enables a system to say that, ""I am happy"" and ""It's joyful"", have the same meaning.

To incorporate this feature to a system, we present words of a particular language in form of vectors. Often called as embeddings, they help in establishing similarities between words and phrases.

For instance, a vector representing the word ""happy"" will lie in the vicinity of the vectors representing the words ""joy"", ""pleasure"", ""sad"" etc. These vectors are high dimensional but using PCA or other dimensionality reduction techniques they are brought down to 3 dimensions where they could be visualized.

That's why we encode words in the form of vectors. We often use cosine similarity to determine the closest vector to a given vector in analysing sematic similarity.

For an intuition, the 3D space which contains vectors for all possible English words could be thought of our knowledge base. We tend to keep similar words together in our mind. If we are talking about fast food, for instance, our brain would capture the region of the knowledge base to retreive words related with fast food like ""burgers"", ""chicken"" etc."
Xgboost multiple class predictive performance beats one versus rest,"Multiclass models in XGBoost consist of n_classes separate forests, one for each one-vs-rest binary problem. At each iteration, an extra tree is added to each forest. But it isn't actually a one-vs-rest approach (as I thought in the first version of this answer), because these trees are built to minimize a single loss function, the cross-entropy of the softmax probabilities. https://discuss.xgboost.ai/t/multiclassification-training-process/29
https://github.com/dmlc/xgboost/issues/806
https://github.com/dmlc/xgboost/issues/3655

In general, the one-vs-rest models are very good at identifying the single class, whereas the multiclass model has to balance performance on all of them. More specifically, I think that the softmax may be responsible for the phenomenon you're displaying. (I'm still thinking about it, but I thought I should post the above for now.)

Suppose one of your documents is reasonably likely to be in either of two topics: the probability scores given by the forests are 0.9, 0.85, then <0.1 in all the rest. In your topic-1 model, you make a fairly confident judgement that this document is of topic 1 (score of 0.9). But in the multiclass ensemble, you see things as much more uncertain; maybe the model applies softmax, so that the probability of topic 1 is only ~0.5.

More extreme, suppose the individual topic model scores are all 0.9. Now the multiclass ensemble applies softmax and produces equal 1/17 probabilities for each topic!

In the other direction, suppose one of your documents is judged unlikely to fit any of the topics: all the individual topic model probability scores are 0.01. In the multiclass ensemble, that gets scaled up to 1/17 (OK, 17 topics makes this a harder sell).

Hrm, except how likely is it to get the 0.9 and 0.85, since a training sample in one of these two topics will be pushed toward 0 by the other model... ? Especially when your scores are fairly high, so it's not like the models have huge blind spots.
(This part still causes a problem with the correct understanding of how XGBoost works; the log-loss of the softmax probabilities still penalizes being confident about belonging to two different classes...)"
Information Extraction from Free-form text to create Transactions,"My answer is based on couple of assumptions:

user input is more or less standard, so there won't be ""Ex 20000""
you have at least majority of forms of input covered

In every representative example of transaction description you would need to mark words of interest, be it name of holder and account number. You can start small with 10-20 examples for start, and then, when you have all required fields marked, you can train a sequence labelling model, or, say it, custom Named Entity Recognition model, which will parse new text and extract required data for you.

How to train actual model is answered in that question: Help regarding NER in NLTK , and how to mark up the data - is more of a question you should answer, since only you do know, what should be marked as account number, account holder etc.

If you would be digging into NER training, I would advise you not to rely only on current word features, but add some regexp-alike features and dictionaries as features, since task seems very limited in terms of context variation."
"Which type of models generalize better, generative or discriminative models?","My answer is not limited to NLP and I think NLP is no different in this aspect than other types of learning.

An interesting technical look is offered by: On Discriminative vs. Generative Classifiers - Andrew Ng, Michael Jordan.

Now a more informal opinion:

Discriminative classifiers attack the problem of learning directly. In the end, you build classifiers for prediction, which means you build an estimation of 
p(y|x)
𝑝
(
𝑦
|
𝑥
)
. Generative models arrive through Bayes theorem to the same estimation, but it does that estimating the joint probability and the conditional is obtained as a consequence.

Intuitively, generative classifiers require more data since the space modeled is usually larger than that for a discriminative model. More parameters mean there is a need for more data. Sometimes not only the parameters but even the form of a joint distribution is harder to be modeled rather than a conditional.

But if you have enough data available it is also to be expected that a generative model should give a more robust model. Those are intuitions. Vapnik asked once why to go for joint distribution when what we have to solve is the conditional? He seems to be right if you are interested only in prediction.

My opinion is that there many factors that influence building a generative model of a conditional one which includes the complexity of formalism, the complexity of input data, flexibility to extend results beyond prediction and the model themselves. If there is a superiority of discriminant models as a function of available data, that is perhaps a small margin."
How do you train an ML algorithm to achieve a desirable clustering?,"My first reaction was that this is clearly not clustering, in the sense that clustering is an unsupervised task. Imho it's a complex combination of several tasks, My idea, possibly not the only one:

Fist a custom NER model would detect the two kinds of indicators, mainly person names and intent verbs. Possibly there are other words which contribute to knowing the intent or the person.
Then have a method (probably heuristic) for deciding the intent and the person in case of ambiguity. For example, ""Mary gives a flower to John"" would generate two names. Also the NER will likely generate errors sometimes.

Note that this method should in theory work even with new actions and/or new people, because NER classifies based on context words. But it will require a good amount of training data."
Mathematically rigorous NLP,"My personal recommendation would be Introduction to Natural Language Processing by Jacob Eisenstein.

In this book you should find sufficient mathematical formalization/rigor. This books is also, in my opinion, a touchstone of many introductory NLP books."
Class token in ViT and BERT,"My question is — why does this token exist as input in all the transformer blocks and is treated the same as the word / patches tokens?

The transformers, by default are sequence to sequence networks. As there is no decoder layer in ViT, then the length of input sequence (number of patches) equals the length of output sequence. So If the goal is classification, there is two choices:

Either apply a fully connected layer on top of the transformer (which is not a good idea because then we have to fix the number of patches--which translates to input image resolution)
Or apply the classification layer on one items of the output sequence, but which one?! The best answer here is none of them! We don't want to be biased toward any of the patches. So the best solution here is to add a dummy input, call it class token and apply the classification layer on the corresponding output item!

Treating the class token like the rest of the tokens means other tokens can attend to it. I'd expect that the class token will be able to attend other tokens while they could not attend it.

Not sure, but I think if other tokens can attend to class token, then they can use some intermediate information about image class in lower layers! Just a guess and it worth to test different scenarios!

Also, specifically in ViT, why does the class token receive positional encodings? It represents the entire class and thus doesn't have any specific location.

I think the main reason is that, this way the network can distinguish a class embedding from patch embedding and treat them differently!"
Does the transformer decoder reuse previous tokens' intermediate states like GPT2?,"My understanding is that transformer decoders and transformer encoder-decoder models typically operate in the way that the GPT-2 does, i.e., representations in the generated sequence are computed once and then reused for future steps. But you are correct that this is not the only way things can be done. One could recompute the representations for all tokens in the partially-generated sequence using full self-attention over the tokens in the sequence generated so far (there's no mathematical hindrance to doing this -- it's akin to running a typical transformer encoder over the sequence of words in the partially-generated sequence).

But this additional computation is not commonly done as far as I can tell from the literature. I think there are at least two reasons. First, as noted by others, it's cheaper computationally to use previously-computed representations from earlier time steps (though it leads to different results, and I have not seen an empirical comparison in any papers). Second, it matches how training is done. During training, a consequence of masking in self-attention is that the representation at output position i is computed using representations at output positions <= i. That means that during training, there is only a single representation computed for output position i for each layer. That matches what happens at inference time using the standard approach that we've been discussing and which is used in the GPT-2.

If we wanted to train a model in which the representation for an output position was computed based on all available output representations (always excluding the ones that have not yet been ""generated"" of course), then we would need to compute multiple representations for each output position during training, one for each possible uncovered partial right context. For example, if we train a language model on windows of size 512, we would have to compute (about) 512 representations for the first word, one corresponding to the loss for generating each subsequent word in the window. This would lead to a very large computation graph and slow down training. However, it may work better because it leads to richer output representations, so please try it and let us know. :)"
Name Tagger in Stanford NLP,"Name parsing does not appear to built-in to Stanford CoreNLP. .

One option is writing a series of Regular Expression using Stanford TokensRegex to parse and label name tokens.

Another option is using a third party package, such as nameparser in Python."
Chunking Sentences with Spacy,"Named Entity Recognition (NER) would extract names of people, organizations and such. Example:

""Penalty missed! Bad penalty by <person>Felipe Brisola</person>  - <organization>Riga FC</organization> -  shot with right foot is very close to the goal. <person>Felipe Brisola</person> should be disappointed.""


So it could be helpful for the ""person"" field, but probably not for the rest. Note that you could also train a system similar to NER in order to predict other fields, but it would require a good amount of annotated data and it's not sure to work well."
Extracting Part of Speech (Source and Destinations) using text mining/NLP?,"Named Entity Recognition is technique which can be used here. Location is one of the 3 most studied classes (with Person and Organization). Stanford NLP has an open source Java implementation that is extremely powerful.

For Example let say sentence is ""i will be going to Sweden from Boston."" 

Now here you can use regular expression to detect these LOCATION tags."
Calculating confidence score in NER,Named Entity Recognition is traditionally evaluated using precision/recall and F1 score - the medium article gives a low down on how to achieve this I recently happened to read this article on a new approach for the same. Please see the details in the attached medium link but havent tried this out yet though
How to process natural language queries?,"Natural language querying poses very many intricacies which can be very difficult to generalize. From a high level, I would start with trying to think of things in terms of nouns and verbs.

So for the sentence: How many books were sold last month?

You would start by breaking the sentence down with a parser which will return a tree format similar to this:

You can see that there is a subject books, a compound verbal phrase indicating the past action of sell, and then a noun phrase where you have the time focus of a month.

We can further break down the subject for modifiers: ""how many"" for books, and ""last"" for month.

Once you have broken the sentence down you need to map those elements to sql language e.g.: how many => count, books => book, sold => sales, month => sales_date (interval), and so on.

Finally, once you have the elements of the language you just need to come up with a set of rules for how different entities interact with each other, which leaves you with:

Select count(*) from sales where item_type='book' and sales_date >= '5/1/2014' and sales_date <= '5/31/2014'

This is at a high level how I would begin, while almost every step I have mentioned is non-trivial and really the rabbit hole can be endless, this should give you many of the dots to connect."
